,성별,연령,키,몸무게,학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
50205,1.0,13.0,155.5,39.6,3.0,3.0,2.0,8.0,5.0,2.0,1.0,1.0,300.0,540.0
50206,1.0,12.0,153.0,38.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,30.0,410.0
50207,1.0,12.0,171.0,71.0,2.0,3.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0
50208,1.0,12.0,161.0,43.0,4.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,60.0,240.0
50209,1.0,13.0,168.0,55.0,4.0,2.0,1.0,6.0,5.0,2.0,1.0,1.0,120.0,120.0
50210,2.0,13.0,164.0,57.0,3.0,3.0,1.0,8.0,3.0,3.0,1.0,1.0,180.0,420.0
50211,1.0,13.0,162.0,78.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,300.0,600.0
50212,2.0,13.0,163.0,44.8,3.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,170.0,430.0
50213,2.0,14.0,166.5,55.0,5.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,420.0,600.0
50214,2.0,13.0,150.0,42.0,3.0,3.0,2.0,1.0,2.0,5.0,1.0,1.0,140.0,130.0
50215,2.0,14.0,167.9,50.3,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,10.0
50216,1.0,13.0,158.0,42.0,4.0,3.0,4.0,1.0,1.0,5.0,1.0,1.0,600.0,600.0
50217,1.0,13.0,163.0,78.0,3.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0
50218,1.0,13.0,169.5,61.3,3.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0
50219,1.0,13.0,163.0,52.0,2.0,3.0,2.0,5.0,3.0,3.0,1.0,1.0,420.0,600.0
50220,1.0,13.0,162.0,44.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,10.0,10.0
50221,1.0,13.0,171.7,53.0,2.0,2.0,1.0,8.0,3.0,1.0,1.0,1.0,60.0,180.0
50222,1.0,14.0,167.5,80.0,5.0,5.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0
50223,2.0,14.0,165.0,52.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,0.0,120.0
50224,2.0,15.0,153.6,46.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,480.0,540.0
